fsq_category_id,name,short_name,plural_name,icon.prefix,icon.suffix,fsq_place_id,latitude,longitude,distance,email,link,location.address,location.locality,bike_lat,bike_lon,bike_id,free_bikes
4bf58dd8d48988d181941735,Museum,Museum,Museums,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_,.png,4c8a3ba4a92fa093be438fbf,55.86539237825414,-4.3064174398355215,73,museums@glasgowlife.org.uk,/places/4c8a3ba4a92fa093be438fbf,Glasgow Harbour,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d190941735,History Museum,History Museum,History Museums,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,.png,4c8a3ba4a92fa093be438fbf,55.86539237825414,-4.3064174398355215,73,museums@glasgowlife.org.uk,/places/4c8a3ba4a92fa093be438fbf,Glasgow Harbour,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d16d941735,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,4eaaa5f477c850207ed9fee8,55.86560987402711,-4.305612237322065,17,,/places/4eaaa5f477c850207ed9fee8,Riverside Museum,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1e2931735,Art Gallery,Art Gallery,Art Galleries,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_,.png,4b86d7fcf964a52018a131e3,55.864561960273086,-4.299637237509745,378,work@swg3.tv,/places/4b86d7fcf964a52018a131e3,100 Eastvale Pl.,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1e5931735,Music Venue,Music Venue,Music Venues,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_,.png,4b86d7fcf964a52018a131e3,55.864561960273086,-4.299637237509745,378,work@swg3.tv,/places/4b86d7fcf964a52018a131e3,100 Eastvale Pl.,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1f2931735,Performing Arts Venue,Performing Arts,Performing Arts Venues,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_,.png,4b86d7fcf964a52018a131e3,55.864561960273086,-4.299637237509745,378,work@swg3.tv,/places/4b86d7fcf964a52018a131e3,100 Eastvale Pl.,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
52f2ab2ebcbc57f1066b8b46,Supermarket,Supermarket,Supermarkets,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,.png,58aef21cbbec6675b65eecd8,55.86933029573313,-4.310619334400909,521,,/places/58aef21cbbec6675b65eecd8,Beith St,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d146941735,Deli,Deli,Delis,https://ss3.4sqi.net/img/categories_v2/food/deli_,.png,5998709fc666662a7e4e370e,55.870770532257694,-4.302951746449208,585,,/places/5998709fc666662a7e4e370e,235 Dumbarton Road,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d110941735,Italian Restaurant,Italian,Italian Restaurants,https://ss3.4sqi.net/img/categories_v2/food/italian_,.png,5998709fc666662a7e4e370e,55.870770532257694,-4.302951746449208,585,,/places/5998709fc666662a7e4e370e,235 Dumbarton Road,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
52f2ab2ebcbc57f1066b8b46,Supermarket,Supermarket,Supermarkets,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,.png,4b7fc178f964a520673c30e3,55.8697902359134,-4.308109586456555,487,,/places/4b7fc178f964a520673c30e3,"1-2 Merkland ct,",Partick,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4e0e22f5a56208c4ea9a85a0,Distillery,Distillery,Distilleries,https://ss3.4sqi.net/img/categories_v2/food/brewery_,.png,5a11811aee71206ae6bd8493,55.86235659303398,-4.296682170820891,655,,/places/5a11811aee71206ae6bd8493,100 Stobcross Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d16d941735,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,58bd9259735a4d22f8e81f69,55.87114062559571,-4.302928276231387,625,,/places/58bd9259735a4d22f8e81f69,5 Hyndland St,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d122941735,Whisky Bar,Whisky Bar,Whisky Bars,https://ss3.4sqi.net/img/categories_v2/nightlife/whiskey_,.png,4b76fff5f964a52018732ee3,55.870957849292736,-4.301520247309088,633,,/places/4b76fff5f964a52018732ee3,206 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d16d941735,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,59356f80724750442f2c6442,55.87068775068774,-4.307156132784503,567,downtoearthorganicsltd@gmail.com,/places/59356f80724750442f2c6442,Dumbarton road,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4d4b7105d754a06374d81259,Restaurant,Restaurant,Restaurants,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,4bb5ee7eef159c74002e75f7,55.8708621681255,-4.298988726646952,699,info@number16.co.uk,/places/4bb5ee7eef159c74002e75f7,16 Byres Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d11b941735,Pub,Pub,Pubs,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,4d0263ce3fd4224b72abb677,55.87029571487873,-4.299424679705226,632,,/places/4d0263ce3fd4224b72abb677,141 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d145941735,Chinese Restaurant,Chinese,Chinese Restaurants,https://ss3.4sqi.net/img/categories_v2/food/asian_,.png,529a38b711d29657e60b9870,55.87016757565704,-4.2987611105419035,646,,/places/529a38b711d29657e60b9870,121 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1e0931735,Coffee Shop,Coffee Shop,Coffee Shops,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,.png,57ff424738fa621fceda6354,55.87065165755652,-4.3077860564719455,572,,/places/57ff424738fa621fceda6354,Dumbarton Road,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d116941735,Bar,Bar,Bars,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,50d20bc9e4b029fc6804c7a9,55.87140419243122,-4.300449430187405,705,info@thesparklehorse.com,/places/50d20bc9e4b029fc6804c7a9,Dowanhill Street,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d16d941735,Café,Café,Cafés,https://ss3.4sqi.net/img/categories_v2/food/cafe_,.png,4bc8632f14d7952115eb68e9,55.8709393218008,-4.300923691878001,646,tastystuff@bigmouthcoffeecompany.com,/places/4bc8632f14d7952115eb68e9,167 Dumbarton Road,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1d0941735,Dessert Shop,Desserts,Dessert Shops,https://ss3.4sqi.net/img/categories_v2/food/dessert_,.png,59d7ddfb0a464d2a789288c0,55.87022164518674,-4.297816281322971,689,,/places/59d7ddfb0a464d2a789288c0,90 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
52e81612bcbc57f1066b7a0c,Bubble Tea Shop,Bubble Tea,Bubble Tea Shops,https://ss3.4sqi.net/img/categories_v2/food/bubble_,.png,59d7ddfb0a464d2a789288c0,55.87022164518674,-4.297816281322971,689,,/places/59d7ddfb0a464d2a789288c0,90 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
62d5af45da6648532de303ee,Waffle Shop,Waffle Shop,Waffle Shops,https://ss3.4sqi.net/img/categories_v2/food/default_,.png,59d7ddfb0a464d2a789288c0,55.87022164518674,-4.297816281322971,689,,/places/59d7ddfb0a464d2a789288c0,90 Dumbarton Rd,Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d11b941735,Pub,Pub,Pubs,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,.png,57cf101c498e00f91f9e64cc,55.870725,-4.30053,636,,/places/57cf101c498e00f91f9e64cc,165 Dumbarton Rd,,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
4bf58dd8d48988d1c5941735,Sandwich Spot,Sandwich Spot,Sandwich Spots,https://ss3.4sqi.net/img/categories_v2/food/deli_,.png,4e8ef9707ee6c06365c0a110,55.86284423707892,-4.31164221934564,502,,/places/4e8ef9707ee6c06365c0a110,"Unit 3, 795 Govan Cross Shopping Center",Glasgow,55.865683,-4.305367,066c99293af108ece27d9b0436c30cc4,11
